,text,polarity
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,POSITIVE
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,POSITIVE
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,POSITIVE
9,i feel romantic too,POSITIVE
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,POSITIVE
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,POSITIVE
15,i do not feel reassured anxiety is on each side,POSITIVE
22,i have the feeling she was amused and delighted,POSITIVE
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,POSITIVE
29,i feel more superior dead chicken or grieving child,POSITIVE
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,POSITIVE
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,POSITIVE
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,POSITIVE
35,i am not sure what would make me feel content if anything,POSITIVE
36,i have been feeling the need to be creative,POSITIVE
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,POSITIVE
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,POSITIVE
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,POSITIVE
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,POSITIVE
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,POSITIVE
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,POSITIVE
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,POSITIVE
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,POSITIVE
48,on a boat trip to denmark,POSITIVE
50,i need to feel the dough to make sure its just perfect,POSITIVE
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,POSITIVE
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,POSITIVE
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,POSITIVE
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,POSITIVE
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,POSITIVE
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,POSITIVE
64,i am now nearly finished the week detox and i feel amazing,POSITIVE
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,POSITIVE
69,i was feeling brave when i bought it and clearly when i was doing my makeup,POSITIVE
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,POSITIVE
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,POSITIVE
77,i think feelings are one of nay the most important things we have,POSITIVE
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,POSITIVE
84,i feel very happy and excited since i learned so many things,POSITIVE
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,POSITIVE
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,POSITIVE
87,i think about how u could make me feel and realize that everything will be ok,POSITIVE
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,POSITIVE
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,POSITIVE
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,POSITIVE
97,i find every body beautiful and only want people to feel vital in their bodies,POSITIVE
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,POSITIVE
101,i alba i feel good and im fitting in,POSITIVE
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,POSITIVE
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,POSITIVE
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,POSITIVE
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,POSITIVE
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,POSITIVE
108,finding out that i am not ill not seriously,POSITIVE
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,POSITIVE
111,i am feeling all useful,POSITIVE
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,POSITIVE
115,i dance i should feel pretty,POSITIVE
116,i workout every morning before and feel fabulous for it,POSITIVE
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,POSITIVE
119,i feel honoured to have been able to call them friends to share their brotherhood,POSITIVE
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,POSITIVE
125,i feel they are pretty safe on my blog img src http s,POSITIVE
126,i feel pretty eager to get it done as i have a fun plan for quilting it,POSITIVE
127,i am feeling horny so i ask her that lets go home,POSITIVE
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,POSITIVE
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,POSITIVE
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,POSITIVE
132,i was still feeling strong,POSITIVE
133,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,POSITIVE
136,i clench to the corners of the bed to feel assured,POSITIVE
138,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,POSITIVE
141,i might go get a car wash if i am feeling really generous my car needs it,POSITIVE
144,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,POSITIVE
145,i started feeling funny and then friday i woke up sick as a dog,POSITIVE
150,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,POSITIVE
152,i still feel it does the genre a disservice when stories are resolved artifically,POSITIVE
153,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,POSITIVE
156,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,POSITIVE
157,im sorry that there wasnt more humor in this post but im not feeling all that funny,POSITIVE
158,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,POSITIVE
167,i have a feeling my view isnt going to be very popular and thats fine,POSITIVE
168,i want to hold this feeling of shocked awe and wonder forever,POSITIVE
170,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,POSITIVE
172,i use it regularly with relaxing music and always feel invigorated afterward,POSITIVE
174,i feel like its perfect a w see youtube has its influences i even know trends,POSITIVE
